return probability of panel,panel member 1,panel member 2,panel member 3,panel member 4,panel member 5,panel member 6,panel member 7,panel member 8,panel member 9,panel member 10,panel member 11,panel member 12,panel member 13,panel member 14,panel member 15,panel member 16,panel member 17,panel member 18,panel member 19,panel member 20,panel member 21,panel member 22,panel member 23,panel member 24,panel member 25,panel member 26,panel member 27,panel member 28,panel member 29,panel member 30
0.00040834872698427416,83,120,129,130,166,199,213,436,447,457,466,467,474,521,562,564,657,659,701,715,717,725,727,744,749,852,855,877,948,949
0.0007531692580317202,76,110,117,169,196,233,261,278,298,356,431,451,460,532,644,648,661,686,694,713,722,760,775,791,795,837,875,883,978,984
0.0010310728906390073,33,87,137,144,184,186,241,254,332,349,351,407,415,426,434,438,448,532,553,602,689,755,825,840,847,913,914,957,970,996
0.004774106995577084,5,34,94,98,186,219,264,291,292,318,329,334,341,345,351,363,389,401,404,407,466,537,602,720,755,782,785,847,953,957
0.004260119885119648,34,115,186,248,275,292,318,327,334,341,345,363,389,393,401,409,467,472,532,537,558,750,751,784,792,863,919,925,958,963
0.0057306402388249515,8,46,49,83,85,130,169,213,446,447,474,516,521,562,564,575,631,659,725,732,736,739,740,744,747,749,761,877,948,949
0.0012373363555678335,76,162,166,169,196,275,292,318,334,341,345,356,363,389,431,451,460,466,527,576,657,661,696,720,760,782,785,852,980,984
0.002691404149184294,85,103,130,264,278,298,347,356,381,432,446,451,566,657,686,694,698,713,751,760,837,847,853,895,948,958,963,978,984,996
0.0027551148936491724,5,9,12,63,87,94,98,153,186,190,219,404,438,482,511,515,524,565,568,598,621,622,659,720,785,869,880,914,970,992
0.004984309804712729,13,43,94,98,169,179,184,219,224,264,280,332,337,406,434,438,496,659,703,775,786,791,795,798,802,828,842,859,873,879
0.002900759674058434,13,34,100,186,275,278,292,298,318,337,341,345,363,389,393,406,410,436,467,496,521,532,724,750,802,828,829,919,925,978
0.002386901409702471,5,9,34,87,94,98,115,153,219,234,235,327,404,466,470,472,488,511,514,515,524,565,675,720,784,785,792,913,914,970
0.006750752246963421,33,120,129,132,135,146,160,166,208,424,426,457,594,627,657,659,667,677,686,689,694,701,713,715,717,727,742,852,939,980
0.0026481136246399375,1,9,54,76,177,184,264,329,332,342,432,434,466,511,535,540,553,585,661,663,703,708,752,762,782,785,786,894,913,970
0.009939229834457794,1,8,49,83,90,103,153,169,177,199,202,210,300,347,398,403,474,585,626,627,730,740,752,761,762,855,873,883,894,928
0.008913481106010396,5,94,98,115,153,169,202,219,234,269,280,327,379,470,472,488,514,515,524,558,563,565,659,730,784,792,805,926,932,955
0.0010296453448664215,92,186,275,278,292,298,318,341,345,363,381,389,393,410,532,537,555,675,690,698,751,829,861,863,913,958,963,967,978,984
0.0028780530383642603,99,196,267,269,278,298,381,395,415,542,555,563,576,659,675,690,698,751,798,805,814,828,842,859,873,883,926,932,963,978
0.0024253738747468524,33,83,103,129,144,254,267,340,349,351,395,407,415,426,474,566,643,659,674,689,701,727,740,814,840,847,853,855,859,883
0.002780117704349119,1,164,177,179,196,199,208,233,261,356,431,451,548,585,590,594,643,644,648,653,722,752,760,762,837,854,875,883,894,895
0.006406458904125589,34,46,213,234,235,264,291,340,349,410,436,440,447,470,488,514,515,521,575,631,643,703,725,736,739,747,749,786,913,953
0.0076577529246569616,9,33,43,136,162,184,190,224,264,323,332,349,470,488,501,514,515,524,527,553,559,565,568,643,696,703,786,806,823,840
0.005755463740422994,63,129,164,170,186,300,324,340,357,358,398,432,474,516,590,594,632,653,665,701,717,727,854,855,869,880,933,958,963,974
0.011219147569832147,13,33,34,39,99,110,117,186,203,248,388,401,406,409,426,532,537,542,689,697,713,717,775,791,795,798,828,840,842,863
0.00410274978979948,5,8,83,90,94,98,110,117,136,153,162,202,223,323,474,501,527,626,696,730,740,761,775,791,795,798,842,855,859,928
0.010212524392599558,54,94,98,169,177,219,223,318,329,334,341,342,345,404,424,436,456,521,535,540,615,663,684,708,742,749,762,883,894,980
0.01135771240835472,5,90,153,164,170,177,196,202,324,351,356,407,431,432,548,563,576,602,626,627,632,730,755,847,894,926,928,932,957,974
0.0028873424110200797,33,46,110,115,117,132,135,146,186,269,280,349,426,434,438,472,575,627,677,686,689,694,713,747,784,805,840,913,939,955
0.007982066366568888,87,120,136,166,234,235,275,280,298,340,381,389,410,434,438,440,457,511,632,657,698,751,852,914,955,958,963,970,974,978
0.00044484880986547727,103,146,160,169,196,269,298,340,347,357,370,376,379,381,563,566,576,643,657,671,698,751,805,847,853,926,932,943,958,963
0.001564519335096055,8,49,83,90,132,135,146,160,170,261,446,626,627,631,644,659,677,686,689,694,713,736,739,740,761,875,883,895,928,939
0.00224926184687221,33,43,103,146,160,169,210,224,340,347,349,403,426,456,566,598,615,621,622,623,624,643,667,677,689,786,823,840,853,883
0.0005502503507255401,9,33,87,162,169,280,323,324,349,426,434,438,511,555,632,659,665,675,689,690,696,840,914,933,939,966,970,974,987,994
0.007681334348299622,76,103,110,169,210,278,291,347,393,401,403,460,466,532,537,566,659,661,775,782,791,795,798,829,842,853,859,863,873,984
0.0032382909528741385,43,184,199,210,300,332,347,358,398,403,434,456,460,553,559,585,615,624,684,744,752,806,823,877,883,913,966,984,987,994
0.006434795344943693,12,92,100,158,186,223,248,277,370,376,379,393,409,436,467,521,663,671,674,675,724,749,750,829,861,913,919,925,943,967
0.004741068540721293,5,54,90,94,98,135,146,153,160,168,170,186,202,269,291,324,342,530,535,626,667,677,730,805,913,918,928,953,955,974
0.011033929267047998,8,46,49,153,169,170,324,357,436,446,467,521,548,575,631,632,665,736,739,740,747,749,750,761,837,895,919,925,933,974
0.00038495284263406006,8,13,83,85,129,130,169,213,337,406,436,447,474,496,521,562,564,701,725,732,740,749,802,825,828,855,883,948,949,996
0.0007549572685024738,8,13,49,83,164,170,177,208,324,406,432,460,474,496,516,542,548,590,594,632,653,661,665,740,761,802,828,854,855,974
0.004102749789799615,49,76,92,100,169,170,219,324,393,404,446,466,555,675,690,720,724,782,785,829,861,873,879,883,895,908,945,966,967,974
0.0054357650930610705,85,100,130,137,186,213,223,351,393,407,436,447,467,521,562,724,749,750,755,825,828,829,847,913,919,925,948,949,957,996
0.0010758025838455798,12,34,39,63,100,137,144,203,223,241,248,254,409,448,467,482,697,717,727,750,798,842,859,869,880,913,919,925,980,992
